sha,client,author_date,year,subject,weight,security_relevant,defect_class,disclosure,confidence,evidence,why,classified
0709dc9715acb2f607a07c2951764e46efbe01a0,besu,2019-10-28T18:32:49-04:00,2019,Remove shutdown actions from ControllerBuilder,204.8046511627907,False,none,none,0.8,-  private final List<Runnable> shutdownActions = new ArrayList<>();,"This is a refactor of shutdown handling, reorganizing how services are stopped during shutdown rather than fixing a specific security-relevant defect.",True
796a9d1d2d90ba95b6d198142f317e40e46bdc0e,besu,2019-10-31T22:05:47-07:00,2019,remove unneeded change,204.8046511627907,False,none,none,0.99,-      BesuControllerBuilder<?> builder = getControllerBuilder();,"This is a trivial refactor removing an intermediate local variable, with no correctness or security consequence.",True
214615cb735f5352889a65ca0ca5639f32ee8b16,besu,2019-11-17T19:14:05Z,2019,add public and private enclave keys for test,204.8046511627907,False,none,none,0.0,"-    final File file = new File(""./specific/key"");",This commit only modifies test files and adds test resource fixtures; no production code or defect is fixed.,True
29ec2e372d9e19a6a5ab6c4fd8ad5abe1017ac5a,besu,2019-11-19T09:15:54Z,2019,[PAN-2984] Refactors transaction receipt to contain more members (#85),204.8046511627907,False,none,none,0.95,"-  implementation 'org.web3j:pantheon'
+  implementation 'org.web3j:besu'","This commit is a rename/refactor from pantheon to besu package names plus a test assertion relaxation, with no correctness or security consequence.",True
770e473223da24588932236a51e3d680a1a91ef4,besu,2019-12-17T10:51:44+01:00,2019,Updated known hash of plugin-api.,204.8046511627907,False,none,none,0.95,-  knownHash = 'lnsMVYsG7ok04N2BjdO7jKdRPOrwwOK5RwwW3noDClg=',"This is a build/CI configuration change updating an API hash used to detect unintended API changes, not a fix for any defect.",True
621dc076b5a17f86a22d0590cbeef421f3d719d7,besu,2019-12-19T11:47:15+10:00,2019,fix ut,204.8046511627907,False,none,none,1.0,"-    final JWTUser user = new JWTUser(token, """");","The commit only modifies a test file, adjusting test code to use the generic User type and static imports; no production defect is fixed.",True
36873bc6c8d8839d719fcbcfe012d7d616db1614,besu,2019-12-27T11:55:05+10:00,2019,[BESU-77] - Enable TLS for JSON-RPC HTTP Service,204.8046511627907,False,none,none,1.0,+  testLogging.showStandardStreams = true,"The diff only adds test logging configuration and SSL debug output in tests, with no production code changes or defect fixes.",True
0369607002ae548c61fc6ad032b94562cfa84d8f,besu,2020-01-07T09:29:38+01:00,2020,spotless apply,204.8046511627907,False,none,none,1.0,-  void setVmOperationExecutionReport(,This is a code formatting change with no functional impact.,True
9c6406c578d9de0ff0ac6d0f2ff4cdd116613f2a,besu,2020-01-08T14:47:00+10:00,2020,compile errors,204.8046511627907,False,none,none,0.95,-  private PrivacyController privacyController;,"The change only adds final modifiers to fields and a license header to a test file, which is a refactor with no correctness or security consequence.",True
4a3b572c95914ac3bdbea64dff000a80e961650b,besu,2020-01-23T13:19:30+10:00,2020,Sid210 part4: Start message processing (#42),204.8046511627907,False,none,none,0.9,Add processing of start messages.,"This commit adds a new feature (start message processing) and associated tests, not a fix to any security-relevant defect.",True
73b8593a389650e12a72fb4eb51d6c0c5958b206,besu,2020-01-30T13:24:05+10:00,2020,test cleanup,204.8046511627907,False,none,none,1.0,+    this.vertx = Vertx.vertx();,"This is a test-only cleanup change adding vertx setup/teardown in an integration test, with no production code or correctness impact.",True
f2da2562cd050d849af98cfb03d3d49001b377ef,besu,2020-01-31T08:53:12+10:00,2020,Update version to 1.4.0-beta3,204.8046511627907,False,none,none,1.0,+version=1.4.0-beta3,"This is a version bump from a snapshot to a release, not a code fix.",True
6868ce4c86ec377636a454053cdcec3636679cb6,besu,2020-02-17T15:15:55+01:00,2020,[PIE-2303] Automatic log bloom caching - Remove usage of pending file. (#407),204.8046511627907,False,none,none,0.8,"-      final File pendingFile = calculateCacheFileName(PENDING, cacheDir);","This commit refactors the log bloom caching mechanism to write directly to the cache file instead of using a pending file and atomic move, which does not fix a security-relevant defect.",True
fac04b769d9dd2a25fd225e3c906e7b987214a84,besu,2020-03-20T17:07:00+01:00,2020,Init tracing cache feature,204.8046511627907,False,none,none,0.95,+  private boolean tracingCacheEnabled = false;,"This commit introduces a new tracing cache feature and wires its configuration flag through the builder and CLI, not fixing any existing defect.",True
22ea9f574f77a8ed069e21744e96776b58937f23,besu,2020-04-01T13:23:47-04:00,2020,Added block add event. Added block reorg event. Added revert reason to both events.,204.8046511627907,False,none,none,0.95,+  @Override,"This commit adds new block event listener features and a helper method; it is a feature addition, not a fix to any security-relevant defect.",True
b9fbb07966b66f2be8364b9cfcadc03071d5871f,besu,2020-04-14T13:54:44+02:00,2020,The base fee must be included if present and EIP-1559 is enabled in the `hashHeader` method.,204.8046511627907,True,consensus_divergence,silent,0.95,+      out.writeLongScalar(header.getBaseFee().get());,"Omitting the base fee from the header hash when EIP-1559 is enabled would cause nodes to compute incorrect header hashes, leading to consensus divergence.",True
8a69d3a9194fcf6b5fe42ac4aa02557abc9aeae1,besu,2020-04-15T17:07:21+10:00,2020,spotless fix,204.8046511627907,False,none,none,1.0,-import static org.junit.Assert.*;,"This is a code-style cleanup removing an unused import in a test file, with no correctness or security consequence.",True
30a6975daf2b21484333f6500bfff87cd3fee81c,besu,2020-04-23T17:35:25+02:00,2020,handmerge changelog,204.8046511627907,False,none,none,1.0,+### Additions and Improvements,"This commit only modifies the CHANGELOG.md file, adding documentation entries; there is no code change fixing any defect.",True
5484d8f7ff2b7a385c7d1c0cf665184119a2b92b,besu,2020-04-27T16:42:44+02:00,2020,Fix unit test,204.8046511627907,False,none,none,0.8,-    private final BlockHeader chainHead;,"This is a refactor changing how the base fee is supplied to BlockTransactionSelector (from a captured BlockHeader to a lazy Supplier<Optional<Long>>), not a fix for a security-relevant defect.",True
d64ac0705487a87b9fa3d7e2b7c2d79fa044d195,besu,2020-05-12T23:30:24-06:00,2020,EVMTool improvements (#819),204.8046511627907,False,none,none,0.9,genesisState.writeStateTo(mutableWorldState);,"This commit adds features to the EVMTool (clique genesis support, nested calls, genesis allocations, gas reporting), not a fix to a security-relevant defect.",True
8b1ca8ceb9448b3d3681fef4d26f68f2169747cb,besu,2020-05-21T11:59:10+10:00,2020,Added eth_estimateGas fix and logs query known issue (#965),204.8046511627907,False,none,none,0.9,+- Fixed `eth_estimateGas` JSON RPC so it no longer returns gas estimates that are too low. [\#842](https://github.com/hyperledger/besu/pull/842),"This commit only modifies CHANGELOG.md documentation; it does not contain any code fix, so it does not itself fix a security-relevant defect.",True
fc9976164f540269fa5d42981201f89657e7a0f0,besu,2020-06-02T10:59:51-04:00,2020,test changes,204.8046511627907,False,none,none,0.95,"-    testPruner(3, 1, 1, 4, 1000);","This is a test-only change removing a constructor parameter from test invocations, with no production code or correctness consequence shown.",True
2d5c6e9a7f22dae5c17ce3a785942465882ab42d,besu,2020-08-12T11:21:28-06:00,2020,Update version to 1.5.3-SNAPSHOT,204.8046511627907,False,none,none,1.0,+version=1.5.3-SNAPSHOT,"This commit only bumps the project version string, which is a build/metadata change with no correctness or security consequence.",True
3a39fbb70740f921436bb2f26548d977c48a0d23,besu,2020-08-20T09:07:20-05:00,2020,Attempt Pending Request to BUSY && ASSIGNED && DISCONNECTED Peer (#1321),204.8046511627907,True,resource_exhaustion,implied_fix,0.85,+    outstandingRequests.set(0);,"On peer disconnect, outstanding request count was never reset, so assigned pending requests were never reattempted and accumulated without bound, causing unbounded resource growth.",True
eaab141b665fec06ef7471ce79bfd28d607572ea,besu,2020-09-25T07:59:06-06:00,2020,follow standard experimental flags rules,204.8046511627907,False,none,none,0.95,+import org.hyperledger.besu.cli.options.unstable.DataStorageOptions;,"This is a refactor moving an existing CLI option into a new options class to follow standard experimental flag conventions, with no correctness or security consequence.",True
413019ae63806ba788d670aa238d6a20213e696a,besu,2020-10-06T15:35:29-04:00,2020,remove ecip1099 genesis config option,204.8046511627907,False,none,none,0.9,-  OptionalLong getEcip1099BlockNumber();,This commit removes a config option and reorganizes genesis config mapping; it is a refactor with no correctness or security consequence.,True
2d7cdf0da4cf7dd2a5f7db5de750ef6358b0f73a,besu,2020-10-15T17:56:32-04:00,2020,rename genesis config option Ecip1099Block to ThanosBlock (#1462),204.8046511627907,False,none,none,1.0,"-    ""ecip1099Block"": 11700000,
+    ""thanosBlock"": 11700000,",This is a pure rename of a genesis config option from ecip1099Block to thanosBlock with no change to behavior or correctness.,True
cd7606e42eec358c6058193bce895706e543c19d,besu,2020-10-19T11:13:46-04:00,2020,add rpc tests,204.8046511627907,False,none,none,0.95,+public class MinerChangeTargetGasLimitTest {,The commit only adds a new test file and contains no production code changes that fix a defect.,True
a51b98320b5edc87d51c3743bdb9a969b0b89f4c,besu,2020-11-09T16:12:53-07:00,2020,cleanup,204.8046511627907,False,none,none,0.9,-          // collect account branches,"This is a cleanup commit removing commented-out dead code, unused imports, and debug logging; no actual defect is being fixed.",True
26e087b21e8ea49a50f78524fbad55e0b2e970c9,besu,2020-11-13T12:10:16+10:00,2020,[MINOR] altered block header timestamp trace log msg to be more helpful (#1560),204.8046511627907,False,none,none,0.9,"-          ""Invalid block header: timestamp {} is not sufficiently newer than parent timestamp {}""",The change only refactors an equivalent comparison and improves a trace log message; the validation logic is mathematically unchanged.,True
4df6b386bc1419d57b27e34467f702b065eedffd,besu,2020-12-14T17:09:06+11:00,2020,proved multi-node network works,204.8046511627907,False,none,none,0.95,+  public BesuNode createQbftNode(final String name) throws IOException {,"This commit adds QBFT support to the acceptance test DSL and genesis configuration factory, which is a test/feature addition, not a fix to a security-relevant defect.",True
cd66968b6d210fd6960a506840c2432281f28342,besu,2021-01-04T11:11:13-08:00,2021,Add tracing support for internals and JSON-RPC (#1557),204.8046511627907,False,none,none,0.95,+  testImplementation 'io.opentelemetry:opentelemetry-api',"This commit adds OpenTelemetry tracing support and acceptance tests, which is a feature/observability addition with no correctness or security consequence.",True
271371b20753414f2a25cfbf0f37b07b898e3437,besu,2021-02-04T12:24:53+10:00,2021,come cleanup,204.8046511627907,False,none,none,0.95,-      receipts = ImmutableList.copyOf(resultingList);,"The diff only replaces an immutable list copy with an unmodifiable wrapper and adds explanatory comments, neither of which fixes a security-relevant defect.",True
87db6f4f239032070bae6fdc662f8472cc19e69b,besu,2021-02-15T16:33:08+11:00,2021,Change Istanbul64 to Istanbul99 (#1903),204.8046511627907,False,none,none,0.9,"-        .withSubProtocol(Istanbul64Protocol.get(), ethProtocolManager);","This is a protocol version bump for interoperability with Quorum, not a fix for a security-relevant defect.",True
71cead1791f65612a44dd14c8710f43f895c2d3c,besu,2021-03-12T15:00:13+01:00,2021,update,204.8046511627907,False,none,none,1.0,"-  @Ignore(""Need to have spec frozen to define correct values"")","This is a test-only change that removes an @Ignore annotation and updates test fixture data, with no production code modification.",True
e686c9498b3f4bd3eabc39790ce9cbb22f0dfe1a,besu,2021-03-26T22:27:48-06:00,2021,tweak versions,204.8046511627907,False,none,none,1.0,"-    'com.google.errorprone:javac:9+181-r4173-1',","This commit only adjusts dependency version patterns in a license-checking gradle script, with no correctness or security consequences.",True
2fefbe06a897bfe1573db75e91cec95f82a1959a,besu,2021-03-31T10:37:14+02:00,2021,fix pipeline,204.8046511627907,False,none,none,0.95,-    return BlockchainSetupUtil.forTesting(storageFormat);,"The diff only modifies test files, forcing test setup to use FOREST storage format, which is a test-only change with no production correctness consequence.",True
85a7613194044574a7ff8fab2c7bd710c50b7c85,besu,2021-04-12T12:07:36+10:00,2021,jsonignore,204.8046511627907,False,none,none,0.9,"@JsonIgnoreProperties(""nonce"")","This is a refactor of JSON-RPC parameter handling that removes a redundant constructor and ignores the nonce field; it does not fix a defect affecting consensus, availability, integrity, or operator safety.",True
ebd1b42cbc01036483f11e68df0f3fdb24cc1114,besu,2021-04-27T17:20:59+02:00,2021,add assembleBlock JSON RPC method,204.8046511627907,False,none,none,0.95,public ConsensusAssembleBlock(,"This commit adds a new JSON RPC method and implements a stub for createBlock; it is a feature addition, not a fix to any existing defect.",True
293e1b5afe126216aa80b09d8374d4442dbb17a2,besu,2021-04-28T13:06:21+02:00,2021,fix pipeline,204.8046511627907,False,none,none,0.9,-        .returnStack(messageFrame.getReturnStack());,"This commit only removes a returnStack field from test fixtures and benchmark helpers, with no production code changes affecting correctness or availability.",True
03913afccc0cd8041d1ac919f4037c75e1a316dc,besu,2021-06-18T16:40:47+10:00,2021,Fix bft duplicate prepares in round change,204.8046511627907,True,consensus_divergence,silent,0.85,"+    return Objects.equals(payload, that.payload);","Adding equals/hashCode to BftMessage ensures duplicate prepare messages from the same validator are deduplicated in sets, preventing inflated prepare counts that could cause a node to incorrectly reach the prepared threshold and diverge from consensus.",True
0589b59dd97a9ab562b56abf1c614d231efafd96,besu,2021-06-21T13:32:41-07:00,2021,additional assertion for missing baseFee at genesis,204.8046511627907,False,none,none,0.95,+    assertThat(EMPTY_CONFIG.getGenesis_baseFeePerGas()).isNotPresent();,"This is a test-only change adding an assertion to an existing test, with no production code fix shown in the diff.",True
bf38616960eed345213b6b15f7ba78325cae2dc7,besu,2021-06-23T19:31:37-07:00,2021,fixes as requested in #2473,204.8046511627907,False,none,none,0.95,-                timeouHandler(,"The diff only fixes a method-name typo (timeouHandler to timeoutHandler), adds a debug log, and narrows a catch clause—none of which affect security-relevant behavior.",True
c6a73e7a51a39d64c61934eee923fc325f61304a,besu,2021-07-07T09:39:33+01:00,2021,Refactor: PrivacyBlockProcessor to clarify intent,204.8046511627907,False,none,none,0.9,+  private boolean onChainAddToGroupPrivateMarkerTransactions(final Transaction t) {,"This commit is a pure refactor extracting a lambda into a named method and renaming variables, with no behavioral change or defect fix.",True
dde64f5769c33f0cb3ac8fb88f111b6fefaebd02,besu,2021-07-20T11:07:59+10:00,2021,get validators from smart contract,204.8046511627907,False,none,none,0.9,+import org.hyperledger.besu.consensus.qbft.voting.ValidatorSmartContractController;,"This commit adds a feature for retrieving validators from a smart contract, not a fix to a security-relevant defect.",True
2c2f849fe8a47c1a50c50ea284e740ea6e538606,besu,2021-08-18T21:06:45-07:00,2021,"Fix: make sure that we create the sender account if it doesn't exist yet, since authcall allows to send from completely new accounts",204.8046511627907,True,consensus_divergence,silent,0.9,+    return getOrCreate(frame.getSenderAddress());,The fix changes getAccount to getOrCreate to prevent consensus divergence or crashes when a sender account does not exist but is expected to be initialized.,True
a2b62d8a03216e6b10c03ed61d185a9e51e312d2,besu,2021-08-31T11:49:49+10:00,2021,url,204.8046511627907,False,none,none,1.0,"-      description = ""Ip address this node advertises to its peers (default: ${DEFAULT-VALUE})""","The diff only changes documentation text (comments and option descriptions), with no functional code changes.",True
fb3b3f2f40bb350789e2bbf74b76b04d24287d7d,besu,2021-10-04T23:21:53+03:00,2021,fix a baseFeePerGas serialization problem fix terminalTotalDifficulty determination for non-PoW consensus mechanisms,204.8046511627907,True,consensus_divergence,silent,0.8,+            blockchain.getTotalDifficultyByHash(blockAddedEvent.getBlock().getHeader().getHash()),"The fix changes post-merge determination to use total difficulty by hash instead of just the block header difficulty, which is critical for correct consensus behavior on non-PoW chains, and also fixes the baseFeePerGas field name for engine API compliance.",True
a37848366735b33806026be77e1716b498e0d446,besu,2021-10-07T14:01:05+03:00,2021,spotless,204.8046511627907,False,none,none,0.95,-    Optional.ofNullable(syncState.get()).ifPresent(ss -> ss.setStoppedAtTerminalDifficulty(newState));,This is a spotless formatting-only commit that rewraps lines and reformats comments with no functional or correctness changes.,True
d968a3f17609f8650c216e7c2b634d6668a4031f,besu,2021-11-17T14:00:02+10:00,2021,address review comments,204.8046511627907,False,none,none,1.0,"-    final Map<Long, BesuControllerBuilder> schedule = new HashMap<>();",This is a test-only variable rename from 'schedule' to 'consensusSchedule' with no functional change.,True
a5bc1b24ba1ba52dcf531651e12e31716ecdc141,besu,2021-12-17T07:26:30+10:00,2021,fixed changelog to reflect what's actually in 22.10.4,204.8046511627907,False,none,none,1.0,-## 21.10.4,This commit only reorganizes the CHANGELOG.md file and does not fix any code defect.,True
0046e90a44b6889436df8cac8674cff9866930bf,besu,2022-01-11T17:11:06+10:00,2022,additional JWT auth algorithm in the right spot in changelog,204.8046511627907,False,none,none,1.0,+### Early Access Features,"This commit only reorders entries in CHANGELOG.md and changes no source code, so it fixes no defect.",True
fd840fe4c745f95fba3bd8bc7ea7cb9c7e65f479,besu,2022-02-22T16:33:15+01:00,2022,Upgrade EnodeURLImpl builder strategy,204.8046511627907,False,none,none,0.7,-      if (InetAddresses.isUriInetAddress(ip)) {,"This reorders DNS resolution before IP parsing in enode URL building, a functional/behavioral change for DNS support rather than a fix for a security-relevant defect.",True
fbc10a2f2ca18c81d81828ec15597f052720ff4c,besu,2022-03-01T16:34:13-05:00,2022,Update changelog,204.8046511627907,False,none,none,1.0,- Allow mining beneficiary to transition at specific blocks for ibft2 and qbft consensus algorithms.  [#3378](https://github.com/hyperledger/besu/issues/3115),This commit only updates the CHANGELOG.md file with a documentation entry; it contains no code change fixing any defect.,True
69799eba9411697b441aedb67db6eae8a240dffe,besu,2022-05-06T09:25:27-07:00,2022,use architecture envar to name and reference the goss executable,204.8046511627907,False,none,none,0.95,export GOSS_PATH=$TEST_PATH/goss-linux-${architecture},"This is a CI/build configuration change to support multiple architectures for the goss test executable, with no correctness or security consequence.",True
62e69705c7861b84b1a03c8e77390451c9558aad,besu,2022-05-11T13:25:48-07:00,2022,master -> main,204.8046511627907,False,none,none,1.0,"-                - master
+                - main","This is a CI branch name rename from master to main, not a fix to any defect.",True
aaad26b09eaa5b5adde67d4a20649fed84f6c587,besu,2022-05-12T11:03:43+02:00,2022,Performance test : add the name of the Pipeline's step in Tracing Signed-off-by: Ameziane H <ameziane.hamlat@consensys.net>,204.8046511627907,False,none,none,1.0,"-  public void processNextInput(final ReadPipe<I> inputPipe, final WritePipe<O> outputPipe, final String name) {",The diff only reformats method signatures by wrapping long lines; there is no logic change or defect fix.,True
1497e4bc3768f4cdccecfcd2c0d3bfde368ad7d0,besu,2022-05-23T11:14:13+02:00,2022,Test LZ4_COMPRESSION on all column famillies Signed-off-by: Ameziane H <ameziane.hamlat@consensys.net>,204.8046511627907,False,none,none,0.95,-                              .setCompressionType(CompressionType.LZ4_COMPRESSION),"This commit changes the RocksDB compression algorithm from LZ4 to LZ4HC, which is a performance/storage tradeoff with no correctness or security consequence.",True
b73f198b76ee38e436a15722efd5796756b0e0ac,besu,2022-06-02T23:04:26-04:00,2022,"Added exception message details to error message, when read db fails See ##3526 Signed-off-by: Sharad Gulati sharad.develop@gmail.com",204.8046511627907,False,none,none,0.95,"-      throw new StorageException(""Failed to retrieve the RocksDB database meta version"", e);","This commit only improves an error message string by appending the underlying exception's message; it changes no control flow, validation, or state handling.",True
f8409f0c82fc712a92ffa9ca2a60f385cb2dc5ef,besu,2022-06-05T19:17:54-04:00,2022,rearranged some things so EthProtocolManager can get notified of ttd,204.8046511627907,False,none,none,0.9,+    protocolContext.getConsensusContext(TransitionContext.class).observeNewIsPostMergeState(ethProtocolManager);,"This is a refactor/feature change to wire up TTD notification to EthProtocolManager for merge transition support, not a fix for a security-relevant defect.",True
7960dae40d314c0bf4ec9fcd5b45113e0f517011,besu,2022-06-28T09:53:21+10:00,2022,warning invalid sync mode option [#3884] (#4017),204.8046511627907,False,input_validation,none,0.85,"-    commandLine.registerConverter(SyncMode.class, SyncMode::fromString);","This replaces a custom CLI converter that silently returned null on invalid input with picocli's built-in enum validation; it is a usability/hardening improvement for operator-provided CLI arguments, not a fix for a security-relevant defect.",True
6f7f983f5d4203b70558879bf5c2f9d28a4a582a,besu,2022-07-30T21:04:57-07:00,2022,use upload and then write the reports separately,204.8046511627907,False,none,none,1.0,-      - name: Publish Test Report,"This commit only modifies CI workflow files to change how test reports are uploaded and published, which is a build/CI change with no correctness consequence.",True
247631f974163b85f2ae4c51f3e2fdc015499e8e,besu,2022-08-24T14:05:41+01:00,2022,small variables renaming in AbstractJsonRpcTest,204.8046511627907,False,none,none,1.0,"-    final BesuNode executionEngine;
+    final BesuNode besuNode;",This is a pure variable renaming in test-only code with no correctness or security impact.,True
