id,source_platform,contest,issue_id,severity,title,description,source_url,introduced_in_commit,domain,scraped_at,stride,cwe_top25,evidence,silent_fix_prob,security_score,fix_commit,confidence,n_signals,authority_tier
besu:hyperledger-besu:PR#7076,besu,hyperledger-besu,PR#7076,Unrated,Fix potential memory leak,"## PR description

## Fixed Issue(s)
<!-- Please link to fixed issue(s) here using format: fixes #<issue number> -->
<!-- Example: ""fixes #2"" -->


### Thanks for sending a pull request! Have you done the following?

- [ ] Checked out our [contribution guidelines](https://github.com/hyperledger/besu/blob/main/CONTRIBUTING.md)?
- [ ] Considered documentation and added the `doc-change-required` label to this PR [if updates are required](https://wiki.hyperledger.org/display/BESU/Documentation).
- [ ] Considered the changelog and included an [update if required](https://wiki.hyperledger.org/display/BESU/Changelog).
- [ ] For database changes (e.g. KeyValueSegmentIdentifier) considered compatibility and performed forwards and backwards compatibility tests

### Locally, you can run these tests to catch failures early:

- [ ] unit tests: `./gradlew build`
- [ ] acceptance tests: `./gradlew acceptanceTest`
- [ ] integration tests: `./gradlew integrationTest`
- [ ] reference tests: `./gradlew ethereum:referenceTests:referenceTests`",https://github.com/besu-eth/besu/pull/7076,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/7076""]",0.8,0.5,,medium,3,B_corroborated
besu:hyperledger-besu:PR#6665,besu,hyperledger-besu,PR#6665,Unrated,Fix txpool dump/restore race condition,"### Thanks for sending a pull request! Have you done the following?

- [ ] Checked out our [contribution guidelines](https://github.com/hyperledger/besu/blob/main/CONTRIBUTING.md)?
- [ ] Considered documentation and added the `doc-change-required` label to this PR [if updates are required](https://wiki.hyperledger.org/display/BESU/Documentation).
- [ ] Considered the changelog and included an [update if required](https://wiki.hyperledger.org/display/BESU/Changelog).
- [ ] For database changes (e.g. KeyValueSegmentIdentifier) considered compatibility and performed forwards and backwards compatibility tests

### Most advanced CI tests are deferred until PR approval, but you could:

- [ ] locally run all unit tests via: `./gradlew build`
- [ ] locally run all acceptance tests via: `./gradlew acceptanceTest`
- [ ] locally run all integration tests via: `./gradlew integrationTest`
- [ ] locally run all reference tests via: `./gradlew ethereum:referenceTests:referenceTests`


## PR description

The disk access was not properly guarded against overlapping dump/restore tasks

## Fixed Issue(s)
<!-- Please link to fixed issue(s) here using format: fixes #<issue number> -->
<!-- Example: ""fixes #2"" -->
fixes #6664",https://github.com/besu-eth/besu/pull/6665,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/6665""]",0.8,0.5,,medium,4,B_corroborated
besu:hyperledger-besu:PR#2338,besu,hyperledger-besu,PR#2338,Unrated,Fix consensus vulnerability regarding excessively large 1559 fee fields,"<!-- Thanks for sending a pull request! Please check out our contribution guidelines: -->
<!-- https://github.com/hyperledger/besu/blob/master/CONTRIBUTING.md -->

## PR description
https://github.com/ethereum/pm/issues/321#issuecomment-850230251

## Changelog

- [x] I thought about the changelog and included a [changelog update if required](https://wiki.hyperledger.org/display/BESU/Changelog).",https://github.com/besu-eth/besu/pull/2338,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/2338""]",1.0,0.9,,high,3,B_corroborated
besu:hyperledger-besu:PR#2227,besu,hyperledger-besu,PR#2227,Unrated,Fix tracer crash,"<!-- Thanks for sending a pull request! Please check out our contribution guidelines: -->
<!-- https://github.com/hyperledger/besu/blob/master/CONTRIBUTING.md -->

## PR description

Fix a crash with tracer on Staticcall and callcode

## Test performed 

- Ropsten 
>curl --location --request POST 'http://127.0.0.1:8545' --header 'Content-Type: application/json' --data-raw '{""jsonrpc"":""2.0"",""method"":""debug_standardTraceBlockToFile"",""params"":[""0x0d9db1248c91a8a2f9b37442d50e7c38b2344853f35b1862e1cf6275ce792467"", {""disableMemory"":true}],""id"":1}'

- Test with some FuzzyVM tests

## Fixed Issue(s)
<!-- Please link to fixed issue(s) here using format: fixes #<issue number> -->
<!-- Example: ""fixes #2"" -->

## Changelog

- [ ] I thought about the changelog and included a [changelog update if required](https://wiki.hyperledger.org/display/BESU/Changelog).",https://github.com/besu-eth/besu/pull/2227,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/2227""]",0.8,0.5,,medium,4,B_corroborated
besu:hyperledger-besu:PR#1584,besu,hyperledger-besu,PR#1584,Unrated,Fix crash unsupported fork name and add YOLOv2 compatibility (for evm tool),"Signed-off-by: Karim TAAM <karim.t2am@gmail.com>

## PR description

We had a nullpointer exception by running statetest with YOLOv2 yields. This PR add the YOLOv2 compatibility and fix this nullpointer exception when we are runnung statetest with an unsupported fork name

To run statetest with YOLOv2 yields we have to enable berlin
>evm --Xberlin-enabled=true  --json state-test state.json

With an unsupported fork name we will have a specific exception : 
> Caused by: org.hyperledger.besu.evmtool.exception.UnsupportedForkException: Fork 'Berlin' not supported
        at org.hyperledger.besu.evmtool.StateTestSubCommand.traceTestSpecs(StateTestSubCommand.java:178)
        at org.hyperledger.besu.evmtool.StateTestSubCommand.lambda$executeStateTest$0(StateTestSubCommand.java:144)
        at java.base/java.util.LinkedHashMap.forEach(LinkedHashMap.java:684)
        at org.hyperledger.besu.evmtool.StateTestSubCommand.executeStateTest(StateTestSubCommand.java:144)
        at org.hyperledger.besu.evmtool.StateTestSubCommand.run(StateTestSubCommand.java:131)
        at picocli.CommandLine.executeUserObject(CommandLine.java:1919)


### Tests performed 

 - Run evm tool with `Berlin` and `YOLOv2`
 - Run evm tool with an unsupported fork name

## Changelog

- [x] I thought about the changelog and included a [changelog update if required](https://wiki.hyperledger.org/display/BESU/Changelog).",https://github.com/besu-eth/besu/pull/1584,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/1584""]",0.0,0.5,,medium,3,B_corroborated
besu:hyperledger-besu:PR#1327,besu,hyperledger-besu,PR#1327,Unrated,Update acceptance tests build arguments to capture JVM crash logs,"Update acceptance tests build arguments to capture JVM crash logs in CircleCI 

Signed-off-by: Usman Saleem <usman@usmans.info>

## Changelog

- [x] I thought about the changelog and included a [changelog update if required](https://wiki.hyperledger.org/display/BESU/Changelog).",https://github.com/besu-eth/besu/pull/1327,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/1327""]",0.0,0.5,,medium,1,C_candidate
besu:hyperledger-besu:PR#860,besu,hyperledger-besu,PR#860,Unrated,[#846] Log selected security module,"Issue #846 

Signed-off-by: Usman Saleem <usman@usmans.info>",https://github.com/besu-eth/besu/pull/860,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/860""]",0.0,0.5,,medium,1,C_candidate
besu:hyperledger-besu:PR#760,besu,hyperledger-besu,PR#760,Unrated,[Pruning Bugfix] Prevent race condition in key deletion.,"### The Bug
Account `A` has storage nodes become inaccessible from any of the recent state tries that we intend to keep.
Account `B`'s storage is currently being populated by the block importer and happens to have the some of the same contents of `A`'s storage.

Nodes in `A`'s storage are being swept while the nodes resulting from the processing of the block with `B` is about to be persisted to the `WorldStateKeyValueStorage`, which will trigger the marking listener.

If the thread running the method `removeAllKeysUnless` is taken off the cpu before it calls `delete`, there is an opportunity for a (higher priority) block-import thread to commit the same node that is about to be deleted. This commit will trigger the `markNodes` listener but at that point it's already too late. We already did the ""in use check"" when we looked at the node in `markStorage` and have committed to deleting the key.

### Burn-in testing
All (including full syncs with pruning - good for checking correctness)
https://grafana-metrics-ohio.ops.pegasys.tech/d/5S-6O8VZk/besu-overview?orgId=1&from=1588263154000&to=now&var-system=dev-besu-release-mainnet-nopruning-nofix&var-system=dev-besu-release-mainnet-nopruning-nofix-fast&var-system=dev-besu-release-mainnet-pruning-bugfix&var-system=dev-besu-release-mainnet-pruning-bugfix-fast&var-system=dev-besu-release-mainnet-pruning-nofix-fast&refresh=10s

Only fast syncs (for real use-case performance)
https://grafana-metrics-ohio.ops.pegasys.tech/d/5S-6O8VZk/besu-overview?orgId=1&from=1588262400000&to=now&var-system=dev-besu-release-mainnet-nopruning-nofix-fast&var-system=dev-besu-release-mainnet-pruning-bugfix-fast&var-system=dev-besu-release-mainnet-pruning-nofix-fast&refresh=10s

## Fixed Issue(s)
fixes #580",https://github.com/besu-eth/besu/pull/760,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/760""]",0.9,0.5,,medium,3,B_corroborated
besu:hyperledger-besu:PR#713,besu,hyperledger-besu,PR#713,Unrated,Security Module Plugin API,"## PR description

Introduce Security Module Plugin API. This allows to switch to a different security module provider to provide cryptographic function that can be used by NodeKey (such as sign, ECDHKeyAgreement etc.). By default register KeyPairSecurityModule otherwise attempt to load Security Module via plugin API.

CLI Options:
`--security-module=<name>`. (defaults to `localfile`)",https://github.com/besu-eth/besu/pull/713,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/713""]",0.0,0.5,,medium,1,C_candidate
besu:hyperledger-besu:PR#56,besu,hyperledger-besu,PR#56,Unrated,Fixes race condition between `NodeAddedListener` and `FullBlockImportStep`,"<!-- Thanks for sending a pull request! Please check out our contribution guidelines: -->
<!-- https://github.com/hyperledger/besu/blob/master/CONTRIBUTING.md -->

## PR description
Fixes race condition between attaching the `NodeAddedListener` and some state from post marked block being persisted. We now prepare and cleanup the listener only once each, on start and stop respectively.

Other changes:
 * Start the `Pruner` before `FullSyncDownloader`. Luckily the downloader took enough time to start downloading that this wasn't an issue but it's safer this way.

## Fixed Issue(s)
<!-- Please link to fixed issue(s) here using format: fixes #<issue number> -->
<!-- Example: ""fixes #2"" -->",https://github.com/besu-eth/besu/pull/56,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/56""]",0.2,0.5,,medium,3,B_corroborated
93076007b5f6d2f2,erigon,erigontech/erigon,COMMIT#7c048051604c,Info,"deps: bump golang.org/x/{net,crypto,sys} for security fixes (#21357)","## Summary

Pulls in the Go Security Team's coordinated security releases for
`golang.org/x/net` v0.55.0 and `golang.org/x/crypto` v0.52.0. `x/sys` is
bumped to v0.45.0 (current latest) as a transitive consequence.

## CVEs addressed

### `golang.org/x/net` v0.54.0 → v0.55.0
- `html` — XSS via namespaced elements in foreign content
(CVE-2026-42506)
- `html` — XSS via HTML elements in foreign content (CVE-2026-42502)
- `html` — DoS via cubic-complexity parse (CVE-2026-25680)
- `html` — XSS via character refs in DOCTYPE (CVE-2026-25681)
- `html` — XSS via duplicate attributes (CVE-2026-27136)
- `idna` — privilege escalation: `ToASCII`/`ToUnicode` accepted Punycode
labels that decode to ASCII (CVE-2026-39821)

### `golang.org/x/crypto` v0.51.0 → v0.52.0
13 CVEs across `ssh`, `ssh/agent`, `ssh/knownhosts`:
- Panics on crafted inputs: CVE-2026-46598, CVE-2026-46597,
CVE-2026-39835
- Auth/cert bypass: CVE-2026-39828, CVE-2026-42508, CVE-2026-46595
- DoS via pathological keys / channel writes: CVE-2026-39829,
CVE-2026-39834, CVE-2026-39827, CVE-2026-39830
- Silently dropped key constraints: CVE-2026-39833, CVE-2026-39832
- FIDO/U2F User-Presence flag bypass: CVE-2026-39831

### `golang.org/x/sys` v0.44.0 → v0.45.0
Pulled in transitively by `x/net` v0.55.0. Current published latest.

### `golang.org/x/image` — not applicable
The Go advisory for `x/image` v0.41.0 (BMP/TIFF) doesn't affect this
repo — `golang.org/x/image` is not a direct or transitive dependency.

## Cross-OS notes

- `x/net` and `x/crypto` security-fixed packages (`html`, `idna`,
`ssh*`) are pure Go.
- `x/sys` is platform-specific by design; v0.45.0 ships per-platform
builds for every Erigon-supported OS/arch.
- Cross-toolchain link verification on macOS isn't possible (Erigon
needs CGO via `evmone_precompiles` etc.); CI's linux/macos/windows
runners cover real platform builds.

## Test plan

- [x] `make erigon integration downloader rpcdaemon` — build clean on
darwin/arm64
- [x] `make lint` — clean
- [x] `g",https://github.com/erigontech/erigon/commit/7c048051604c52ca1b95420bc8203ab9dfa3a711,,ethereum,2026-07-02T03:45:44.145568+00:00,Other,N/A,"[""https://github.com/erigontech/erigon/pull/21357"", ""https://github.com/erigontech/erigon/commit/7c048051604c52ca1b95420bc8203ab9dfa3a711""]",0.0,1.0,7c048051604c52ca1b95420bc8203ab9dfa3a711,high,3,A_authoritative
erigon:erigontech-erigon:PR#21271,erigon,erigontech-erigon,PR#21271,Unrated,[r3.4] ci(docs): mirror update-disk-sizes lint/security hardening from main,"## Summary

Brings the `release/3.4` copy of `.github/workflows/update-disk-sizes.yml` in line with the `main` copy (PR #21100), which received several iterations of Copilot review plus a recent zizmor-driven security pass.

Net behavior is identical — the changes are all internal hardening / lint cleanup.

### What changed

- **`GITHUB_OUTPUT`** instead of `GITHUB_ENV` for `prune_mode` / `source_run_id` / `base_branch` propagation. Step outputs aren't environment variables, so zizmor's `github-env` rule doesn't fire.
- **Input validation** on `workflow_dispatch` inputs (numeric `run_id`, allowed-char `base_branch`, `full|minimal` `prune_mode`) before any value is written downstream.
- **Per-step `env:` blocks** instead of template substitution into shell scripts — no template-injection findings.
- **""Verify artifacts are present""** step that fails fast if the download yielded an empty directory.
- **Action bumps**: `actions/download-artifact@v7 → @v8`, `actions/setup-python@v5 → @v6`, aligning with the rest of the repo.
- **`persist-credentials: true`** explicit on the checkout (the later `git push` needs them).
- **`# zizmor: ignore[dangerous-triggers]`** on the `workflow_run` trigger with justification — this workflow never checks out the triggering run's head; `BASE_BRANCH` is always pinned to `release/3.4` for `workflow_run` events.

### What did **not** change

- The `branches:` filter still lists only `release/3.*`. The `main` copy lists both `main` and `release/3.*` because it exists specifically to fire for default-branch QA runs; the release-branch copy intentionally stays narrower.

### Why now

Zizmor was added to `main`'s lint workflow in #21127 (merged 2026-05-13, ~9h after #21030 merged here). The release/3.4 copy is fine under release/3.4's current lint config — but if/when zizmor gets backported, the existing file would fail the same checks that #21100 just fixed on `main`. This keeps the two copies aligned ahead of that.

### Test plan
- [ ] CI passes on this PR
- [ ] No functional change vs. current release/3.4 copy — `branches:` filter unchanged, same trigger, same outputs
- [ ] Diff against `main`'s copy after this and #21100 both merge: single-line difference on the `branches:` filter only

🤖 Generated with [Claude Code](https://claude.com/claude-code)",https://github.com/erigontech/erigon/pull/21271,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/erigontech/erigon/pull/21271""]",0.0,0.8,,medium,2,B_corroborated
erigon:erigontech-erigon:PR#10776,erigon,erigontech-erigon,PR#10776,Unrated,up gqlparser version: there is security patch,,https://github.com/erigontech/erigon/pull/10776,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/erigontech/erigon/pull/10776""]",0.0,0.5,,medium,1,C_candidate
erigon:erigontech-erigon:PR#4721,erigon,erigontech-erigon,PR#4721,Unrated,grafana: up security fix version,,https://github.com/erigontech/erigon/pull/4721,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/erigontech/erigon/pull/4721""]",0.0,0.5,,medium,1,C_candidate
19c01fce178a8733,erigon,erigontech/erigon,COMMIT#ee62d9c9371f,Info,db: fix integer overflow vulnerability in FixedSizeBitmapsWriter (#17073),"Replace unsafe `multiplication` with` math.SafeMul()` in bitmap size
calculation.

Fixes the TODO

Co-authored-by: Alexey Sharov <AskAlexSharov@gmail.com>",https://github.com/erigontech/erigon/commit/ee62d9c9371f4178903553691a18e47735894afd,,ethereum,2026-07-02T03:45:44.145568+00:00,Other,N/A,"[""https://github.com/erigontech/erigon/pull/17073"", ""https://github.com/erigontech/erigon/commit/ee62d9c9371f4178903553691a18e47735894afd""]",0.9,0.9,ee62d9c9371f4178903553691a18e47735894afd,high,4,B_corroborated
